City,Total Number of Courts in the City,Average Maximum Norm,Population Estimates,Tennis Player Estimates,Matches Estimates in a week,Minimum Matches in an hour,Maximum Matches in an hour,Minimum Number of Demanded Courts (Singles),Minimum Number of Demanded Courts (Doubles),Maximum Number of Demanded Courts (Singles),Maximum Number of Demanded Courts (Doubles),S/D Ratio for Minimum Singles,S/D Ratio for Minimum Doubles,S/D Ratio for Maximum Singles,S/D Ratio for Maximum Doubles
Skokie,42,0.2501,"66,422",5181,14092,168,294,84,42,147,73,0.5007,1.0014,0.2860,0.5720
South Elgin,14,,"23,917",1866,5074,60,0,30,15,0,0,0.4635,0.9270,,
South Holland,12,0.2902,"21,015",1639,4459,53,108,27,13,54,27,0.4522,0.9043,0.2226,0.4452
St. Charles,14,0.2140,,0,0,0,0,0,0,0,0,,,,
Steger,5,,"9,438",736,2002,24,0,12,6,0,0,0.4195,0.8390,,
Streamwood,13,0.2982,"38,651",3015,8200,98,204,49,24,102,51,0.2663,0.5327,0.1276,0.2552
Sugar Grove,4,,"9,235",720,1959,23,0,12,6,0,0,0.3430,0.6860,,
Summit Argo,6,0.2545,,0,0,0,0,0,0,0,0,,,,
Sycamore,9,0.2244,"18,580",1449,3942,47,74,23,12,37,18,0.3836,0.7671,0.2442,0.4884
Thornton,2,,,0,0,0,0,0,0,0,0,,,,
Tinley Park,12,0.2129,"54,864",4279,11640,139,207,69,35,103,52,0.1732,0.3464,0.1162,0.2324
Twin Lakes,4,0.2342,"6,388",498,1355,16,26,8,4,13,7,0.4958,0.9917,0.3025,0.6049
University Park,4,,"7,082",552,1503,18,0,9,4,0,0,0.4472,0.8945,,
Valparaiso,24,0.3276,"34,428",2685,7304,87,199,43,22,100,50,0.5520,1.1040,0.2407,0.4814
Vernon Hills,32,0.2792,"26,786",2089,5683,68,132,34,17,66,33,0.9460,1.8920,0.4840,0.9681
Villa Park,10,0.2293,"21,992",1715,4666,56,89,28,14,45,22,0.3601,0.7201,0.2243,0.4487
Warrenville,2,0.2623,"14,655",1143,3109,37,68,19,9,34,17,0.1081,0.2161,0.0589,0.1177
Wauconda,13,0.2463,"14,011",1093,2973,35,61,18,9,31,15,0.7347,1.4694,0.4261,0.8523
Waukegan,17,0.2918,"88,614",6912,18800,224,457,112,56,229,114,0.1519,0.3038,0.0744,0.1487
Wayne,0,,,0,0,0,0,0,0,0,0,,,,
West Chicago,7,0.4923,"25,370",1979,5382,64,221,32,16,110,55,0.2185,0.4370,0.0634,0.1268
West Dundee,5,0.2218,,0,0,0,0,0,0,0,0,,,,
Westchester,11,0.1939,"16,492",1286,3499,42,57,21,10,28,14,0.5282,1.0563,0.3892,0.7784
Western Springs,22,0.2766,"13,370",1043,2837,34,65,17,8,33,16,1.3030,2.6060,0.6730,1.3461
Westmont,14,0.2377,"24,150",1884,5124,61,101,30,15,51,25,0.4590,0.9181,0.2759,0.5517
Wheaton,48,0.2624,"53,126",4144,11271,134,246,67,34,123,62,0.7155,1.4309,0.3895,0.7790
Wheeling,10,0.2719,"38,499",3003,8168,97,185,49,24,93,46,0.2057,0.4114,0.1081,0.2162
Whiting,14,0.3952,,0,0,0,0,0,0,0,0,,,,
Willow Springs,1,,"5,729",447,1215,14,0,7,4,0,0,0.1382,0.2764,,
Willowbrook,2,0.2849,"9,127",712,1936,23,46,12,6,23,11,0.1735,0.3470,0.0870,0.1740
Wilmette,23,,"27,587",2152,5853,70,0,35,17,0,0,0.6602,1.3204,,
Wilmot,8,0.2263,,0,0,0,0,0,0,0,0,,,,
Winfield,2,0.1666,"10,140",791,2151,26,30,13,6,15,7,0.1562,0.3124,0.1339,0.2679
Winnetka,15,,"12,475",973,2647,32,0,16,8,0,0,0.9521,1.9043,,
Winthrop Harbor,2,,,0,0,0,0,0,0,0,0,,,,
Wonder Lake,1,0.3761,,0,0,0,0,0,0,0,0,,,,
Wood Dale,6,0.3786,"13,861",1081,2941,35,93,18,9,46,23,0.3428,0.6855,0.1294,0.2587
Woodridge,9,0.3755,"33,826",2638,7177,85,225,43,21,112,56,0.2107,0.4214,0.0802,0.1603
Woodstock,32,,"25,646",2000,5441,65,0,32,16,0,0,0.9880,1.9761,,
Worth,1,0.2802,"10,708",835,2272,27,53,14,7,27,13,0.0739,0.1479,0.0377,0.0754
Yorkville,10,0.2080,"22,594",1762,4794,57,83,29,14,42,21,0.3505,0.7009,0.2407,0.4814
Zion,12,0.2527,"24,494",1911,5197,62,109,31,15,55,27,0.3879,0.7759,0.2193,0.4386
Grand Total,3224,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
