City,0tate,County,Population,Per0on0 un0er 5 year0- percent,Per0on0 un0er 18 year0- percent,Per0on0 65 year0 an0 over- percent,Female per0on0- percent,White alone- percent,Black or African American alone- percent,American In0ian an0 Ala0ka Native alone- percent,A0ian alone- percent,Native Hawaiian an0 Other Pacific I0lan0er alone- percent,Two or More Race0- percent,Hi0panic or Latino- percent,White alone- not Hi0panic or Latino- percent,Veteran0-per0on,Foreign born per0on0- percent- 2017-2021,Owner-occupie0 hou0ing unit rate- 2017-2021,Me0ian value of owner-occupie0 hou0ing unit0- 2017-2021,Me0ian 0electe0 monthly owner co0t0 -with a mortgage- 2017-2021,Me0ian 0electe0 monthly owner co0t0 -without a mortgage- 2017-2021,Me0ian gro00 rent- 2017-2021,Hou0ehol00- 2017-2021,Per0on0 per hou0ehol0- 2017-2021,Living in 0ame hou0e 1 year ago- percent of per0on0 age 1 year+- 2017-2021,Language other than Engli0h 0poken at home- percent of per0on0 age 5 year0+- 2017-2021,Hou0ehol00 with a computer- percent- 2017-2021,Hou0ehol00 with a broa0ban0 Internet 0ub0cription- percent- 2017-2021,High 0chool gra0uate or higher- percent of per0on0 age 25 year0+- 2017-2021,Bachelor'0 0egree or higher- percent of per0on0 age 25 year0+- 2017-2021,With a 0i0ability- un0er age 65 year0- percent- 2017-2021,Per0on0  without health in0urance- un0er age 65 year0- percent,In civilian labor force- total- percent of population age 16 year0+- 2017-2021,In civilian labor force- female- percent of population age 16 year0+- 2017-2021,Total accommo0ation an0 foo0 0ervice0 0ale0- 2017 ($1-000),Total health care an0 0ocial a00i0tance receipt0/revenue- 2017 ($1-000),Total tran0portation an0 warehou0ing receipt0/revenue- 2017 ($1-000),Total retail 0ale0- 2017 ($1-000),Total retail 0ale0 per capita- 2017,Mean travel time to work (minute0)- worker0 age 16 year0+- 2017-2021,Me0ian hou0ehol0 income (in 2021 0ollar0)- 2017-2021,Per capita income in pa0t 12 month0 (in 2021 0ollar0)- 2017-2021,Per0on0 in poverty- percent,All employer firm0- Reference year 2017,Men-owne0 employer firm0- Reference year 2017,Women-owne0 employer firm0- Reference year 2017,Minority-owne0 employer firm0- Reference year 2017,Nonminority-owne0 employer firm0- Reference year 2017,Veteran-owne0 employer firm0- Reference year 2017,Nonveteran-owne0 employer firm0- Reference year 2017,Population per 0quare mile- 2020,Population per 0quare mile- 2010,Lan0 area in 0quare mile0- 2020,Lan0 area in 0quare mile0- 2010,FIP0 Co0e
Flo00moor,Cook,IL,9461.00,0.08,0.26,0.17,0.53,0.29,0.65,0.00,0.02,0.00,0.04,0.02,0.29,218.00,0.07,0.92,258300.00,2545.00,1409.00,2108.00,3519.00,2.79,0.90,0.06,0.99,0.94,0.99,0.66,0.05,0.05,0.65,0.61,12114.00,54045.00,1966.00,60574.00,6525.00,41.90,126085.00,57912.00,0.08,196.00,0.00,0.00,0.00,0.00,0.00,0.00,2650.60,2587.50,3.66,3.66,"""1726571"""
Fore0t Park,Cook,IL,14012.00,0.05,0.15,0.18,0.53,0.56,0.28,0.01,0.05,0.00,0.06,0.08,0.54,950.00,0.08,0.51,265100.00,2045.00,699.00,1164.00,6961.00,2.02,0.85,0.12,0.93,0.87,0.95,0.48,0.09,0.07,0.69,0.68,45650.00,83281.00,7720.00,350157.00,25162.00,31.70,72827.00,47658.00,0.11,379.00,0.00,61.00,62.00,0.00,0.00,0.00,5969.60,5898.70,2.40,2.40,"""1726935"""
Fox Lake,Lake,IL,10927.00,0.07,0.18,0.20,0.56,0.87,0.02,0.00,0.01,0.00,0.07,0.11,0.82,648.00,0.06,0.70,187300.00,1609.00,775.00,1049.00,4929.00,2.21,0.89,0.11,0.89,0.85,0.90,0.22,0.15,0.08,0.62,0.60,29318.00,8548.00,4101.00,496166.00,47200.00,39.60,64221.00,37239.00,0.13,299.00,0.00,0.00,0.00,237.00,0.00,244.00,1401.50,1303.60,7.83,8.12,"""1727442"""
Frankfort,Will,IL,20492.00,0.05,0.28,0.16,0.51,0.83,0.09,0.00,0.03,0.00,0.04,0.05,0.81,554.00,0.07,0.94,389500.00,2879.00,1183.00,1863.00,6405.00,3.11,0.92,0.09,0.98,0.94,0.98,0.56,0.05,0.04,0.69,0.62,68974.00,73371.00,32128.00,653872.00,34496.00,36.40,145645.00,53589.00,0.02,777.00,456.00,165.00,0.00,626.00,0.00,666.00,1285.50,1186.90,15.79,14.98,"""1727624"""
Franklin Park,Cook,IL,18298.00,0.04,0.24,0.13,0.52,0.59,0.00,0.01,0.04,0.00,0.18,0.55,0.40,350.00,0.29,0.73,220800.00,1864.00,770.00,1044.00,5915.00,3.11,0.95,0.61,0.93,0.88,0.78,0.16,0.07,0.15,0.69,0.67,34546.00,29677.00,202463.00,162287.00,9028.00,27.30,70221.00,27865.00,0.13,731.00,416.00,155.00,150.00,462.00,0.00,582.00,3869.90,3845.90,4.77,4.77,"""1727702"""
Gary,Lake,IN,68325.00,0.07,0.27,0.19,0.54,0.13,0.78,0.00,0.00,0.00,0.06,0.09,0.10,3975.00,0.02,0.49,70600.00,996.00,433.00,848.00,27773.00,2.49,0.83,0.04,0.85,0.73,0.86,0.14,0.12,0.12,0.50,0.50,90897.00,258871.00,484946.00,441410.00,5823.00,28.00,34085.00,19520.00,0.32,711.00,397.00,124.00,141.00,445.00,52.00,517.00,1388.90,1610.20,49.75,49.87,"""1827000"""
Geneva,Kane,IL,21247.00,0.04,0.25,0.15,0.53,0.90,0.01,0.00,0.03,0.00,0.04,0.09,0.85,794.00,0.06,0.85,348700.00,2493.00,1085.00,1684.00,7964.00,2.68,0.91,0.09,0.98,0.98,0.98,0.61,0.04,0.03,0.70,0.64,125390.00,536650.00,65366.00,411293.00,18691.00,28.50,126759.00,60161.00,0.02,1009.00,504.00,174.00,76.00,745.00,0.00,768.00,2156.80,2205.70,9.92,9.75,"""1728872"""
Glen Ellyn,0uPage,IL,28533.00,0.07,0.27,0.18,0.50,0.85,0.03,0.00,0.08,0.00,0.04,0.05,0.82,1172.00,0.10,0.78,464300.00,3209.00,1124.00,1162.00,10986.00,2.59,0.89,0.15,0.94,0.91,0.96,0.68,0.05,0.03,0.64,0.56,0.00,209845.00,20647.00,323999.00,11594.00,30.30,124754.00,69566.00,0.05,825.00,439.00,198.00,53.00,691.00,0.00,665.00,4211.10,4152.10,6.85,6.61,"""1729756"""
Glencoe,Cook,IL,8687.00,0.05,0.28,0.20,0.53,0.94,0.02,0.00,0.03,0.00,0.02,0.01,0.94,363.00,0.07,0.93,1101200.00,4000.00,1500.00,1657.00,3195.00,2.76,0.90,0.09,0.94,0.94,1.00,0.86,0.03,0.01,0.52,0.38,19302.00,17654.00,,160655.00,18094.00,35.70,212132.00,128770.00,0.02,209.00,80.00,0.00,0.00,143.00,0.00,144.00,2380.00,2345.30,3.72,3.72,"""1729652"""
Glen0ale Height0,0uPage,IL,32796.00,0.07,0.23,0.12,0.50,0.47,0.12,0.01,0.23,0.00,0.09,0.30,0.31,955.00,0.35,0.64,208700.00,1756.00,804.00,1358.00,11395.00,2.93,0.86,0.54,0.97,0.95,0.84,0.29,0.05,0.12,0.73,0.67,61801.00,122200.00,91862.00,661808.00,19354.00,26.50,77582.00,30887.00,0.10,705.00,406.00,86.00,170.00,444.00,0.00,544.00,6160.80,6367.30,5.39,5.37,"""1729730"""
Glenview,Cook,IL,47856.00,0.06,0.25,0.23,0.52,0.76,0.01,0.00,0.15,0.00,0.05,0.08,0.72,1529.00,0.22,0.79,529500.00,2925.00,1170.00,1893.00,18406.00,2.58,0.91,0.29,0.94,0.92,0.96,0.69,0.03,0.05,0.62,0.53,210278.00,753332.00,19552.00,1775804.00,37355.00,30.60,123771.00,70217.00,0.05,1871.00,1094.00,341.00,322.00,1302.00,67.00,1555.00,3478.70,3204.20,14.00,13.95,"""1729938"""
Gray0lake,Lake,IL,21121.00,0.07,0.23,0.12,0.49,0.76,0.07,0.00,0.06,0.00,0.05,0.10,0.72,884.00,0.12,0.74,247900.00,2263.00,1090.00,1276.00,7817.00,2.65,0.86,0.17,0.96,0.93,0.97,0.60,0.06,0.05,0.73,0.66,39192.00,95817.00,58114.00,221458.00,10576.00,30.30,109975.00,50354.00,0.06,488.00,243.00,142.00,0.00,357.00,0.00,409.00,1949.40,2123.80,10.90,9.87,"""1731121"""
Gurnee,Lake,IL,30521.00,0.04,0.22,0.13,0.53,0.68,0.08,0.01,0.13,0.00,0.07,0.15,0.62,1278.00,0.15,0.71,276300.00,2259.00,942.00,1371.00,11630.00,2.65,0.87,0.24,0.95,0.92,0.96,0.53,0.08,0.04,0.70,0.65,167184.00,205605.00,29688.00,1183283.00,38503.00,27.90,102140.00,50422.00,0.05,1089.00,609.00,0.00,0.00,682.00,0.00,790.00,2274.00,2318.60,13.50,13.50,"""1732018"""
Hammon0,Lake,IN,76984.00,0.06,0.25,0.12,0.51,0.46,0.22,0.01,0.01,0.00,0.07,0.39,0.36,3337.00,0.11,0.61,107500.00,1026.00,431.00,914.00,29321.00,2.61,0.87,0.26,0.88,0.80,0.84,0.14,0.13,0.12,0.60,0.55,120637.00,558405.00,434253.00,1100980.00,14386.00,24.70,48107.00,23821.00,0.21,1136.00,680.00,151.00,301.00,621.00,0.00,848.00,3426.40,3549.00,22.73,22.78,"""1831000"""
Hamp0hire,Kane,IL,7758.00,0.05,0.26,0.10,0.50,0.97,0.00,0.00,0.02,0.00,0.01,0.04,0.93,364.00,0.04,0.69,289800.00,2197.00,912.00,1579.00,2410.00,3.33,0.87,0.10,1.00,0.83,0.82,0.30,0.06,0.03,0.64,0.64,0.00,4469.00,2762.00,66674.00,10573.00,31.40,97927.00,48639.00,0.06,177.00,82.00,0.00,0.00,133.00,0.00,155.00,806.60,621.60,9.51,8.95,"""1732525"""
Hanover Park,Cook,IL,36774.00,0.05,0.28,0.11,0.52,0.49,0.08,0.01,0.16,0.00,0.13,0.40,0.34,823.00,0.32,0.76,215900.00,1750.00,785.00,1399.00,11220.00,3.35,0.89,0.53,0.97,0.92,0.81,0.27,0.05,0.13,0.69,0.63,34118.00,41324.00,46149.00,254983.00,6683.00,29.80,80535.00,27901.00,0.14,459.00,302.00,0.00,151.00,256.00,0.00,375.00,5834.60,5999.90,6.42,6.33,"""1732746"""
Harvar0,McHenry,IL,9459.00,0.07,0.35,0.09,0.51,0.82,0.00,0.00,0.00,0.00,0.09,0.54,0.43,292.00,0.20,0.56,138200.00,1401.00,574.00,1014.00,2946.00,3.22,0.80,0.40,0.97,0.90,0.72,0.12,0.04,0.13,0.74,0.65,12439.00,41315.00,0.00,114734.00,12554.00,29.80,63044.00,21564.00,0.14,216.00,0.00,49.00,0.00,0.00,0.00,0.00,1133.30,1101.50,8.36,8.58,"""1733331"""
Harvey,Cook,IL,19871.00,0.06,0.25,0.15,0.52,0.17,0.65,0.00,0.02,0.00,0.09,0.28,0.04,717.00,0.15,0.50,75700.00,1326.00,472.00,914.00,7376.00,2.78,0.87,0.26,0.90,0.83,0.80,0.11,0.12,0.14,0.58,0.57,48982.00,423185.00,59219.00,75619.00,3043.00,31.40,35572.00,20536.00,0.29,340.00,250.00,0.00,0.00,166.00,0.00,278.00,3274.90,4011.10,6.21,6.30,"""1733383"""
Harwoo0 Height0,Cook,IL,8836.00,0.08,0.23,0.15,0.47,0.76,0.02,0.01,0.12,0.00,0.04,0.18,0.67,169.00,0.45,0.62,297000.00,2115.00,779.00,1099.00,3528.00,2.54,0.93,0.67,0.92,0.80,0.88,0.31,0.04,0.09,0.69,0.62,41792.00,21094.00,9943.00,160346.00,18875.00,32.10,74577.00,36313.00,0.09,307.00,223.00,33.00,0.00,230.00,0.00,277.00,10987.90,10441.10,0.83,0.82,"""1733435"""
Hazel Cre0t,Cook,IL,13098.00,0.06,0.33,0.12,0.58,0.08,0.88,0.00,0.00,0.00,0.03,0.04,0.07,455.00,0.03,0.63,132700.00,1509.00,643.00,1310.00,4719.00,2.90,0.89,0.05,0.93,0.79,0.96,0.27,0.10,0.07,0.66,0.66,15489.00,312450.00,28570.00,42103.00,3039.00,34.10,54353.00,25171.00,0.18,265.00,152.00,0.00,0.00,120.00,0.00,225.00,3939.40,4159.80,3.40,3.39,"""1733695"""
Hickory Hill0,Cook,IL,14182.00,0.06,0.27,0.15,0.48,0.87,0.03,0.00,0.02,0.00,0.04,0.16,0.76,367.00,0.32,0.72,247400.00,1951.00,822.00,1008.00,5101.00,2.82,0.91,0.57,0.91,0.86,0.86,0.24,0.05,0.11,0.67,0.64,0.00,17468.00,65389.00,136197.00,9785.00,29.40,69072.00,31301.00,0.10,317.00,207.00,54.00,0.00,234.00,0.00,283.00,5100.20,4968.80,2.84,2.83,"""1734514"""
Highlan0 Park,Lake,IL,30177.00,0.07,0.25,0.26,0.51,0.89,0.01,0.01,0.03,0.00,0.05,0.09,0.84,960.00,0.12,0.84,523500.00,3336.00,1500.00,1812.00,12079.00,2.48,0.88,0.16,0.95,0.93,0.98,0.76,0.04,0.04,0.64,0.55,89480.00,483265.00,0.00,1229449.00,41358.00,29.80,153226.00,93309.00,0.03,1258.00,664.00,0.00,0.00,1002.00,0.00,997.00,2465.20,2439.80,12.24,12.20,"""1734722"""
Hill0i0e,Cook,IL,8142.00,0.07,0.18,0.17,0.49,0.29,0.45,0.01,0.03,0.00,0.03,0.33,0.20,282.00,0.21,0.62,196600.00,1594.00,714.00,1341.00,2987.00,2.70,0.93,0.40,0.95,0.86,0.84,0.26,0.08,0.11,0.61,0.53,45450.00,78432.00,100838.00,243075.00,30290.00,30.80,62224.00,28970.00,0.06,263.00,138.00,0.00,42.00,148.00,0.00,169.00,2626.30,2562.80,3.17,3.18,"""1735086"""
Hin00ale,0uPage,IL,17273.00,0.06,0.33,0.15,0.49,0.76,0.01,0.00,0.15,0.00,0.07,0.05,0.74,338.00,0.15,0.88,880100.00,4000.00,1500.00,1831.00,5700.00,2.96,0.85,0.20,0.98,0.96,0.98,0.81,0.03,0.03,0.64,0.52,45249.00,744567.00,47159.00,267366.00,15073.00,33.80,224185.00,114121.00,0.02,724.00,468.00,159.00,0.00,544.00,28.00,625.00,3762.70,3653.30,4.62,4.60,"""1735307"""
Hobart,Lake,IN,29521.00,0.05,0.21,0.16,0.52,0.78,0.10,0.00,0.02,0.00,0.06,0.15,0.70,1544.00,0.04,0.72,164400.00,1250.00,473.00,1049.00,11885.00,2.47,0.87,0.08,0.93,0.91,0.93,0.24,0.11,0.08,0.62,0.55,73450.00,351674.00,28060.00,1224408.00,43480.00,28.60,63168.00,31699.00,0.14,676.00,407.00,56.00,51.00,494.00,53.00,489.00,1136.00,1103.60,26.19,26.33,"""1834114"""
Hoffman E0tate0,Cook,IL,51350.00,0.07,0.24,0.14,0.50,0.54,0.06,0.00,0.26,0.00,0.07,0.18,0.48,1578.00,0.33,0.73,294200.00,2134.00,896.00,1490.00,18450.00,2.82,0.90,0.47,0.98,0.95,0.92,0.48,0.05,0.07,0.70,0.64,138426.00,747580.00,36539.00,838943.00,16306.00,30.40,96274.00,41166.00,0.05,1268.00,761.00,282.00,228.00,874.00,81.00,1016.00,2493.70,2495.50,21.07,20.80,"""1735411"""
Homer Glen,Will,IL,24516.00,0.06,0.24,0.19,0.50,0.91,0.01,0.00,0.02,0.00,0.04,0.08,0.87,1127.00,0.12,0.95,349900.00,2624.00,1028.00,1205.00,8054.00,3.04,0.94,0.21,0.96,0.94,0.93,0.38,0.05,0.04,0.66,0.62,28358.00,63730.00,33496.00,294610.00,12025.00,36.50,120306.00,45912.00,0.03,663.00,481.00,109.00,0.00,587.00,0.00,618.00,1109.30,1092.30,22.13,22.17,"""1735835"""
Homewoo0,Cook,IL,19001.00,0.06,0.27,0.16,0.52,0.44,0.48,0.00,0.01,0.00,0.04,0.05,0.42,777.00,0.04,0.78,170300.00,1631.00,810.00,1211.00,7272.00,2.67,0.90,0.07,0.93,0.94,0.96,0.43,0.08,0.04,0.63,0.58,89729.00,159590.00,0.00,447154.00,23475.00,32.60,81940.00,35145.00,0.09,407.00,185.00,0.00,0.00,211.00,0.00,297.00,3731.40,3708.50,5.22,5.21,"""1735879"""
Ita0ca,0uPage,IL,9430.00,0.04,0.19,0.17,0.52,0.77,0.01,0.00,0.14,0.00,0.07,0.10,0.71,251.00,0.22,0.74,347200.00,2386.00,981.00,1541.00,3896.00,2.44,0.87,0.26,0.97,0.96,0.96,0.48,0.05,0.05,0.74,0.69,81974.00,115114.00,460200.00,54642.00,5781.00,25.10,109146.00,58583.00,0.03,646.00,342.00,95.00,50.00,456.00,57.00,428.00,1900.20,1746.80,5.02,4.95,"""1737907"""
Joliet,Will,IL,150372.00,0.06,0.27,0.10,0.50,0.61,0.17,0.01,0.02,0.00,0.08,0.34,0.45,5265.00,0.14,0.71,204800.00,1756.00,687.00,1104.00,49563.00,2.98,0.89,0.29,0.94,0.89,0.84,0.25,0.07,0.09,0.70,0.64,557775.00,964331.00,657585.00,2099711.00,14207.00,29.70,77373.00,31390.00,0.11,2247.00,1282.00,0.00,353.00,1477.00,0.00,1728.00,2330.60,2373.60,64.52,62.11,"""1738570"""
Keno0ha,Keno0ha,WI,99286.00,0.06,0.24,0.13,0.51,0.73,0.11,0.01,0.02,0.00,0.10,0.18,0.64,5007.00,0.09,0.58,168800.00,1440.00,608.00,996.00,38581.00,2.50,0.84,0.16,0.93,0.88,0.90,0.27,0.10,0.09,0.68,0.64,204579.00,737787.00,93192.00,4528047.00,45345.00,24.00,60219.00,31167.00,0.15,1597.00,842.00,277.00,124.00,1177.00,84.00,1197.00,3529.60,3684.10,28.33,26.93,"""5539225"""
La Grange,Cook,IL,15978.00,0.07,0.30,0.16,0.52,0.85,0.05,0.00,0.01,0.00,0.06,0.10,0.81,539.00,0.05,0.82,514700.00,3195.00,1122.00,1363.00,5705.00,2.76,0.89,0.11,0.96,0.93,0.97,0.62,0.04,0.04,0.65,0.62,0.00,254022.00,46904.00,127134.00,8116.00,32.80,124292.00,62827.00,0.04,601.00,0.00,0.00,0.00,503.00,0.00,463.00,6463.80,6163.20,2.53,2.52,"""1740767"""
La Grange Park,Cook,IL,13234.00,0.07,0.28,0.19,0.52,0.86,0.05,0.00,0.02,0.00,0.04,0.13,0.78,569.00,0.08,0.74,370900.00,2560.00,911.00,1249.00,5161.00,2.56,0.89,0.13,0.94,0.91,0.96,0.61,0.06,0.03,0.62,0.58,9873.00,66905.00,2808.00,40389.00,3049.00,31.00,102034.00,51178.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6034.50,6084.60,2.23,2.23,"""1740793"""
Lake Bluff,Lake,IL,5589.00,0.06,0.25,0.20,0.54,0.86,0.00,0.01,0.06,0.00,0.06,0.08,0.84,209.00,0.12,0.91,660500.00,3659.00,1380.00,2710.00,2150.00,2.73,0.88,0.15,1.00,0.96,0.99,0.79,0.07,0.03,0.59,0.50,0.00,37489.00,,410512.00,72941.00,29.30,173667.00,95616.00,0.03,230.00,117.00,58.00,0.00,179.00,22.00,183.00,1378.20,1411.50,4.08,4.05,"""1740910"""
Lake Fore0t,Lake,IL,19253.00,0.04,0.20,0.25,0.52,0.85,0.01,0.01,0.07,0.00,0.05,0.05,0.82,669.00,0.12,0.87,812900.00,4000.00,1500.00,1882.00,7014.00,2.61,0.82,0.14,0.97,0.96,0.99,0.81,0.06,0.03,0.54,0.46,0.00,375094.00,8765.00,155983.00,7956.00,34.40,194267.00,99558.00,0.03,641.00,317.00,145.00,0.00,496.00,20.00,495.00,1126.00,1127.90,17.20,17.18,"""1741105"""
Lake In The Hill0,McHenry,IL,28945.00,0.07,0.27,0.09,0.51,0.84,0.03,0.00,0.06,0.00,0.06,0.16,0.73,798.00,0.12,0.84,247400.00,1906.00,932.00,1572.00,9912.00,2.93,0.91,0.19,0.99,0.98,0.96,0.39,0.05,0.05,0.76,0.71,27228.00,48825.00,25126.00,263581.00,9166.00,33.60,102106.00,40505.00,0.03,527.00,329.00,0.00,0.00,387.00,0.00,434.00,2840.50,2791.30,10.20,10.38,"""1741183"""
Lake 0tation,Lake,IN,13160.00,0.05,0.24,0.12,0.50,0.74,0.05,0.00,0.00,0.00,0.11,0.30,0.63,594.00,0.05,0.67,88700.00,1074.00,478.00,953.00,4821.00,2.73,0.85,0.16,0.93,0.86,0.79,0.08,0.12,0.13,0.64,0.62,11801.00,0.00,8683.00,142919.00,11897.00,28.00,50852.00,23089.00,0.18,141.00,84.00,0.00,0.00,101.00,0.00,106.00,1595.50,1515.40,8.30,8.30,"""1841535"""
Lake Villa,Lake,IL,8692.00,0.05,0.27,0.11,0.49,0.77,0.03,0.00,0.08,0.00,0.09,0.13,0.71,331.00,0.13,0.68,279400.00,2632.00,1156.00,1227.00,3026.00,2.87,0.86,0.19,0.97,0.95,0.96,0.44,0.06,0.06,0.70,0.62,14258.00,31099.00,4736.00,53050.00,6090.00,33.60,115598.00,46936.00,0.03,0.00,145.00,0.00,0.00,0.00,0.00,0.00,1341.70,1413.00,6.52,6.19,"""1741586"""
Lake Zurich,Lake,IL,19660.00,0.06,0.23,0.13,0.51,0.87,0.01,0.00,0.08,0.00,0.04,0.04,0.85,662.00,0.16,0.80,351600.00,2469.00,977.00,1673.00,7105.00,2.76,0.91,0.20,0.98,0.97,0.97,0.55,0.03,0.03,0.74,0.69,65452.00,84804.00,4130.00,765048.00,38479.00,30.30,118139.00,53169.00,0.04,890.00,509.00,117.00,137.00,594.00,0.00,723.00,2877.00,2901.70,6.87,6.77,"""1741742"""
Lan0ing,Cook,IL,28379.00,0.04,0.24,0.16,0.53,0.39,0.45,0.01,0.02,0.00,0.07,0.19,0.30,1460.00,0.10,0.69,136100.00,1462.00,705.00,1073.00,11126.00,2.59,0.88,0.17,0.95,0.89,0.91,0.26,0.08,0.11,0.67,0.64,62492.00,39889.00,140183.00,484245.00,17356.00,32.10,62397.00,30897.00,0.15,491.00,257.00,104.00,0.00,319.00,0.00,400.00,3896.50,4174.40,7.46,6.79,"""1742028"""
Lemont,Cook,IL,17529.00,0.04,0.25,0.19,0.49,0.93,0.01,0.00,0.02,0.00,0.04,0.07,0.89,589.00,0.16,0.87,389000.00,2611.00,949.00,1184.00,6119.00,2.83,0.93,0.25,0.96,0.91,0.97,0.44,0.07,0.02,0.64,0.59,33324.00,118654.00,154771.00,143096.00,8399.00,35.70,119750.00,48479.00,0.05,545.00,262.00,164.00,0.00,432.00,0.00,443.00,2118.60,2008.20,8.32,7.97,"""1742795"""
Libertyville,Lake,IL,20500.00,0.06,0.26,0.17,0.53,0.86,0.01,0.00,0.07,0.00,0.05,0.07,0.84,720.00,0.10,0.81,448800.00,2986.00,1254.00,1405.00,7458.00,2.70,0.87,0.12,0.96,0.94,0.98,0.74,0.05,0.03,0.66,0.58,108566.00,760624.00,14584.00,868441.00,42452.00,27.20,153674.00,76019.00,0.03,1228.00,742.00,237.00,124.00,990.00,0.00,1002.00,2336.40,2304.90,8.81,8.81,"""1743250"""
Lincoln0hire,Lake,IL,7932.00,0.03,0.20,0.29,0.50,0.76,0.01,0.00,0.21,0.00,0.02,0.01,0.76,312.00,0.21,0.83,569600.00,3539.00,1500.00,2679.00,3249.00,2.33,0.91,0.27,0.92,0.91,0.97,0.75,0.05,0.01,0.56,0.45,102025.00,131370.00,16614.00,0.00,,25.00,144676.00,84919.00,0.04,387.00,232.00,64.00,0.00,264.00,0.00,262.00,1741.60,1589.00,4.56,4.58,"""1743666"""
Lincolnwoo0,Cook,IL,13191.00,0.05,0.22,0.28,0.51,0.67,0.01,0.00,0.26,0.00,0.05,0.07,0.63,403.00,0.34,0.80,398500.00,2714.00,1145.00,2398.00,4766.00,2.79,0.91,0.51,0.88,0.83,0.93,0.56,0.05,0.08,0.54,0.48,68989.00,199662.00,53221.00,745245.00,59840.00,26.60,95650.00,48641.00,0.06,543.00,358.00,96.00,118.00,363.00,0.00,431.00,5001.10,4677.70,2.69,2.69,"""1743744"""
Li0le,0uPage,IL,23887.00,0.07,0.22,0.15,0.48,0.72,0.04,0.00,0.18,0.00,0.05,0.06,0.69,752.00,0.17,0.57,368700.00,2625.00,930.00,1388.00,10077.00,2.29,0.84,0.20,0.96,0.93,0.98,0.65,0.06,0.05,0.70,0.64,92063.00,167614.00,43483.00,326575.00,13863.00,29.40,102676.00,54867.00,0.06,1105.00,708.00,181.00,0.00,736.00,0.00,906.00,3510.10,3273.30,6.90,6.84,"""1743939"""
Lockport,Will,IL,26118.00,0.06,0.27,0.11,0.51,0.90,0.02,0.00,0.02,0.00,0.04,0.10,0.84,883.00,0.10,0.82,256400.00,1994.00,913.00,1377.00,9139.00,2.83,0.88,0.16,0.97,0.92,0.96,0.40,0.06,0.06,0.73,0.68,32429.00,0.00,69018.00,236905.00,9339.00,38.10,96481.00,39118.00,0.07,611.00,413.00,91.00,0.00,506.00,25.00,524.00,2263.10,2179.10,11.53,11.40,"""1744225"""
Lombar0,0uPage,IL,43891.00,0.06,0.21,0.16,0.52,0.76,0.05,0.00,0.12,0.00,0.05,0.10,0.70,1520.00,0.17,0.70,272400.00,2027.00,832.00,1556.00,17211.00,2.54,0.88,0.24,0.94,0.91,0.97,0.48,0.05,0.06,0.70,0.66,236727.00,305080.00,252941.00,1049825.00,23923.00,28.20,89079.00,43304.00,0.07,1773.00,1087.00,265.00,0.00,1178.00,49.00,1398.00,4351.90,4210.30,10.22,10.25,"""1744407"""
Long Grove,Lake,IL,8308.00,0.03,0.21,0.17,0.50,0.76,0.01,0.00,0.15,0.00,0.06,0.06,0.74,197.00,0.22,0.96,664000.00,4000.00,1500.00,3500.00,2449.00,3.24,0.93,0.22,1.00,0.98,0.98,0.68,0.05,0.01,0.59,0.52,7365.00,62444.00,,155984.00,19449.00,32.50,207275.00,80313.00,0.02,283.00,169.00,0.00,77.00,0.00,0.00,263.00,675.40,644.70,12.39,12.48,"""1744524"""
Lowell,Lake,IN,10972.00,0.08,0.28,0.20,0.52,0.89,0.00,0.00,0.00,0.00,0.05,0.12,0.87,938.00,0.04,0.83,183500.00,1344.00,471.00,1102.00,3982.00,2.63,0.91,0.07,0.95,0.90,0.96,0.20,0.08,0.06,0.63,0.56,15693.00,20340.00,0.00,136687.00,14188.00,31.20,71463.00,32293.00,0.04,135.00,59.00,0.00,0.00,98.00,0.00,106.00,1651.00,1790.80,6.47,5.18,"""1845144"""
Lyon0,Cook,IL,10552.00,0.09,0.25,0.16,0.50,0.66,0.03,0.00,0.03,0.00,0.09,0.57,0.36,401.00,0.23,0.63,195400.00,1653.00,800.00,999.00,3918.00,2.71,0.94,0.52,0.89,0.84,0.86,0.18,0.05,0.13,0.70,0.64,22679.00,3127.00,83203.00,153625.00,14548.00,30.00,67807.00,31175.00,0.09,283.00,0.00,0.00,83.00,175.00,0.00,265.00,4901.20,4910.70,2.21,2.18,"""1745434"""
Manhattan,Will,IL,10037.00,0.09,0.31,0.10,0.48,0.92,0.01,0.00,0.00,0.00,0.06,0.04,0.90,266.00,0.03,0.89,258600.00,2145.00,888.00,979.00,3076.00,3.04,0.88,0.03,0.95,0.95,0.96,0.31,0.05,0.02,0.72,0.69,3299.00,5796.00,,14157.00,1827.00,35.50,112706.00,41241.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1404.70,1073.60,6.68,6.57,"""1746357"""
Marengo,McHenry,IL,7572.00,0.08,0.26,0.14,0.51,0.94,0.03,0.00,0.00,0.00,0.02,0.16,0.81,349.00,0.07,0.62,172800.00,1499.00,672.00,963.00,2895.00,2.56,0.86,0.11,0.92,0.89,0.92,0.15,0.07,0.07,0.68,0.60,10464.00,0.00,2398.00,54730.00,7329.00,24.20,65136.00,32094.00,0.18,144.00,83.00,0.00,0.00,116.00,0.00,116.00,886.60,1526.50,8.54,5.01,"""1746786"""
